O;0;1;1;-2;-2;M;4;2
O;0;0;0;-2;-2;M;4;2
O;0;1;1;2;2;M;4;2
O;0;-1;0;-2;-2;K;4;2
O;1;1;1;2;2;K;4;3
O;1;0;0;1;2;K;4;3
O;1;2;2;2;2;K;4;2
O;1;1;1;-1;1;K;4;2
O;0;1;1;2;2;K;4;2
O;0;2;2;-1;-1;K;3;2
O;0;2;2;-2;-2;K;3;2
O;0;2;2;-2;-2;K;3;2
O;1;1;1;2;2;K;3;2
O;0;1;1;2;2;K;3;2
O;0;0;0;-2;-2;K;3;2
O;0;1;1;2;2;K;2;2
O;0;0;0;-2;-2;K;2;2
O;0;1;1;2;2;K;2;2
O;0;1;1;2;2;K;1;2
O;0;1;1;2;2;K;1;2
O;0;1;1;-1;-1;K;4;2
O;0;1;1;2;2;K;4;3
O;0;-1;-1;-2;-2;K;4;2
O;0;2;2;2;2;K;3;3
O;0;1;1;-1;-1;K;3;2
O;0;1;1;2;2;K;3;3
P;1;1;1;2;2;M;1;2
P;0;1;1;2;2;M;1;1
P;0;-1;-1;-2;-2;M;1;1
P;0;0;0;-2;-2;M;1;1
P;0;1;1;2;2;M;1;1
P;0;0;0;-2;-2;M;1;1
P;0;1;1;2;2;M;1;1
P;0;-1;-1;-2;-2;M;1;1
P;0;-1;-1;-2;-2;M;1;1
P;0;-2;-2;-2;-2;M;1;1
P;0;2;2;2;2;M;1;1
P;0;0;1;-2;-2;M;1;1
P;0;1;1;2;2;M;2;1
P;0;0;1;-2;-2;M;2;1
P;0;1;2;2;2;M;2;1
P;0;1;1;2;2;M;2;1
P;0;1;1;-1;-1;M;2;1
P;1;-2;-1;-2;-2;M;2;2
P;0;1;1;2;2;M;2;1
P;0;-2;-2;-2;-2;M;2;1
P;0;1;1;2;2;M;2;1
P;0;0;0;-2;-2;M;2;1
P;1;-2;-2;1;1;M;2;3
P;0;1;1;2;2;M;2;1
P;0;-2;-2;-2;-2;M;2;1
P;0;2;2;2;2;M;2;1
P;0;1;1;2;2;M;2;1
P;0;0;-2;-2;-2;M;2;1
P;0;0;0;-2;-2;M;2;2
P;0;2;-2;2;2;M;3;2
P;0;1;1;2;2;M;3;2
P;0;1;1;2;2;M;3;2
P;0;1;1;-2;-2;M;3;2
P;0;1;1;-1;-1;M;3;2
P;0;1;1;2;2;M;3;2
P;0;2;2;-1;-1;M;3;2
P;0;2;2;2;2;M;3;2
P;0;2;2;-1;-1;M;3;2
P;1;0;0;-2;-2;M;3;2
P;0;1;1;-1;-1;M;4;2
P;0;1;1;2;2;M;4;2
P;0;1;0;2;2;M;1;1
P;0;-1;-1;-2;-2;M;1;1
P;1;-1;-1;2;2;M;1;2
P;0;1;1;2;2;M;1;2
P;0;2;2;2;2;M;1;2
P;0;1;1;2;2;M;1;2
P;0;2;2;2;2;K;2;2
P;0;1;1;2;2;K;2;2
P;0;1;1;2;2;K;2;2
P;0;1;1;2;2;K;2;2
P;0;1;1;-1;-1;K;2;1
P;0;-1;-1;-2;-2;K;2;2
P;0;1;1;-1;-1;K;2;2
P;0;1;1;2;2;M;2;2
P;1;-1;1;-2;-2;M;3;3
P;0;1;1;-2;-2;M;3;1
P;0;1;1;2;2;M;3;1
P;0;2;2;2;2;M;3;1
P;1;1;1;2;2;M;3;2
P;0;-2;-2;-2;-2;M;3;1
P;0;1;1;2;2;M;3;1
P;0;1;1;2;2;M;3;1
P;0;1;1;2;2;M;3;1
P;0;1;1;2;2;M;2;2
P;0;1;1;2;2;M;2;2
P;0;2;2;2;2;M;2;2
P;0;1;1;2;2;M;2;2
P;0;1;1;2;2;M;2;2
P;0;-2;-2;-2;-2;M;2;2
P;0;-1;-1;-2;-2;M;2;2
P;0;0;0;-2;-2;M;2;2
P;0;1;1;2;2;M;2;2
P;0;1;1;2;2;K;2;2
P;0;1;1;2;2;K;2;2
P;0;1;1;-1;-1;K;2;2
P;0;0;0;-2;-2;K;2;2
P;1;1;1;2;2;K;2;3
P;0;1;1;2;2;K;2;2
P;0;1;1;2;2;K;2;2
P;0;0;0;-2;-2;K;2;2
P;1;-2;-2;-2;-2;K;2;2
P;0;0;0;-2;-2;K;2;2
P;0;0;0;-2;-2;K;2;2
P;0;0;11;-2;-2;K;2;2
P;0;1;1;-1;-1;K;2;2
P;1;-1;-1;-2;-2;M;2;1
P;0;-1;-1;-2;-2;M;2;1
P;0;-2;-2;-2;-2;M;2;1
P;0;1;1;-1;-1;M;2;1
P;0;1;1;2;2;M;2;2
P;1;1;1;2;2;M;2;2
P;0;0;0;-2;-2;M;2;2
P;0;1;1;2;2;M;2;2
P;1;1;1;-1;-1;M;2;2
P;1;0;-1;-2;-2;M;2;2
P;0;2;2;-2;-2;M;2;2
P;0;0;0;-2;-2;M;2;2
S;0;1;1;2;2;K;2;2
S;0;1;1;2;2;K;2;2
S;0;1;1;2;2;K;2;2
S;0;0;1;-2;-2;K;2;2
S;0;-1;-1;-2;-2;K;2;2
S;0;-2;-2;-2;-2;K;2;3
S;0;0;0;-2;-2;K;2;3
S;1;0;0;-2;-2;K;2;3
S;0;1;1;2;2;K;2;2
S;0;2;1;2;2;K;2;2
S;0;0;1;-2;-2;K;2;2
S;0;-2;-2;-2;-2;K;2;2
S;0;2;2;2;2;K;2;2
S;0;2;-1;2;2;K;2;2
S;0;-1;-1;-2;-2;K;2;2
S;0;2;2;2;2;K;2;2
S;0;1;2;2;2;K;2;2
S;0;-1;-1;-2;-2;K;1;2
S;0;1;1;-1;-1;K;3;2
S;0;0;0;-2;-2;K;3;2
S;0;0;0;-2;-2;K;3;3
S;0;1;1;2;2;K;3;3
S;0;2;2;2;2;K;3;3
S;0;1;1;2;2;K;3;2
S;0;0;0;-2;-2;M;2;1
S;1;0;0;-2;-2;M;2;3
S;0;-2;1;-2;-2;M;2;3
S;0;0;0;-2;-2;M;4;1
S;0;1;1;-1;-1;M;4;2
S;0;1;1;2;2;M;4;2
S;0;2;2;2;2;M;1;2
S;0;0;0;-2;-2;M;2;2
S;0;1;1;2;2;M;3;2
S;0;0;0;-2;-2;M;4;2
S;0;0;1;-2;-2;M;4;2
S;0;1;1;2;2;M;1;2
S;0;1;1;2;2;M;2;2
S;0;2;2;2;2;M;2;2
S;0;2;2;2;2;M;3;2
S;0;0;0;-2;-2;M;3;2
S;0;1;1;2;2;M;3;2
S;1;1;1;2;2;M;3;2
S;0;0;0;-2;-2;M;4;2
S;0;2;2;2;2;M;2;2
S;0;2;2;2;2;M;2;2
Z;0;1;1;2;2;M;3;2
Z;0;-2;-1;-2;-2;M;3;3
Z;0;2;2;2;2;M;4;2
Z;1;1;1;2;2;M;2;2
Z;0;1;1;2;2;M;2;2
Z;0;1;2;2;2;M;2;2
Z;0;1;1;-1;-1;M;2;2
Z;1;0;0;-2;-2;M;2;3
Z;0;1;1;-1;-1;M;2;2
Z;0;0;0;-2;-2;M;2;2
Z;0;0;0;-2;-2;M;2;2
Z;1;-2;0;-2;-2;M;2;2
Z;0;1;1;2;2;M;2;2
Z;0;2;2;2;2;M;2;2
Z;0;1;1;2;2;M;2;2
Z;0;1;1;2;2;M;2;2
Z;0;1;1;2;2;M;2;2
Z;1;2;2;2;2;M;3;2
Z;0;1;1;2;2;M;3;2
Z;0;1;1;2;2;M;3;2
Z;0;1;1;2;2;M;1;2
Z;0;-1;-1;-2;-2;M;4;2
Z;0;0;0;-2;-2;M;4;2
Z;1;1;1;2;2;M;4;2
Z;0;0;0;-2;-2;M;4;2
Z;1;1;1;2;2;M;1;3
Z;0;1;1;2;2;M;2;2
Z;0;1;1;-1;-1;K;1;2
Z;0;-1;-1;-2;-2;K;2;2
Z;0;1;1;2;2;K;3;2
Z;0;1;1;2;2;K;2;2
